,memory,version,dataset,metric,value
307,1 GB,SCAMPI (1 GB),solarwind,extent @k,136.5594301253
308,4 GB,SCAMPI (4 GB),HAR_Ambient_Sensor_Data,extent @k,1002.0321938404
309,0.5 GB,SCAMPI (0.5 GB),swtAttack7,extent @k,16.0370038532
310,8 GB,SCAMPI (8 GB),Challenge2009Respiration500HZ,extent @k,73.7100268275
311,2 GB,SCAMPI (2 GB),MGHSleepElectromyography,extent @k,1375.7778068762
312,4 GB,SCAMPI (4 GB),WindTurbine,extent @k,0.8280808533
313,8 GB,SCAMPI (8 GB),swtAttack7,extent @k,15.931652687
314,8 GB,SCAMPI (8 GB),solarwind,extent @k,119.7295624598
315,16 GB,SCAMPI (16 GB),Challenge2009TestSetA_101a,extent @k,318.4426708789
316,16 GB,SCAMPI (16 GB),Lab_FD_061014,extent @k,48.5108403012
317,16 GB,SCAMPI (16 GB),WindTurbine,extent @k,0.8280808533
318,1 GB,SCAMPI (1 GB),house,extent @k,0.0725484591
319,1 GB,SCAMPI (1 GB),BlackLeggedKittiwake,extent @k,62.7158430348
320,2 GB,SCAMPI (2 GB),water,extent @k,43.5675157586
321,2 GB,SCAMPI (2 GB),stator_winding,extent @k,0.9310760332
322,0.25 GB,SCAMPI (0.25 GB),water,extent @k,79.3631866348
323,0.25 GB,SCAMPI (0.25 GB),CinC_Challenge,extent @k,0.0
324,0.25 GB,SCAMPI (0.25 GB),WindTurbine,extent @k,0.8350568617
325,0.5 GB,SCAMPI (0.5 GB),BlackLeggedKittiwake,extent @k,118.2063993713
326,2 GB,SCAMPI (2 GB),EOG_one_hour_50_Hz,extent @k,2584.8092085578
327,8 GB,SCAMPI (8 GB),house,extent @k,0.0725885562
328,8 GB,SCAMPI (8 GB),BlackLeggedKittiwake,extent @k,34.2149685107
329,2 GB,SCAMPI (2 GB),swtAttack38,extent @k,6.8852234545
330,16 GB,SCAMPI (16 GB),MGHSleepElectromyography,extent @k,408.0023431185
331,16 GB,SCAMPI (16 GB),solarwind,extent @k,104.8431145793
332,0.25 GB,SCAMPI (0.25 GB),Lab_K_060314,extent @k,131.6563799615
